worksite_id,city,state
1833,South Weymouth,MA
1834,Southlake,TX
1835,Short Hills,NJ
1836,Clifton,NJ
1837,Meridian,ID
1838,Walnut Creek,CA
1839,Kingsville,TX
1840,Rock Hill,SC
1841,Addison ,TX
1842,Fair Oaks,CA
1843,Royal Oak,MI
1844,Palo Alto ,CA
1845,Augusta ,ME
1846,Social Circle,GA
1847,Woodland Hills ,CA
1848,Charles Town,WV
1849,Media,PA
1850,Trevose,PA
1851,Seguin,TX
1852,St. Atlanta,GA
1853,Woodland Hills ,CA
1854,Longmont,CO
1855,Johnston,IA
1856,Carnegie,PA
1857,Dorchester,MA
1858,Rolling Meadows,IL
1859,Bannockburn,IL
1860,Murray,UT
1861,Garland,TX
1862,Beavercreek,OH
1863,Livonia,MI
1864, San Antonio,TX
1865,Plainsboro ,NJ
1866, Fairfax,VA
1867,Ricardson,TX
1868,South Bound Brook,NJ
1869,Westchester,IL
1870,Sioux Falls,SD
1871,Vista,CA
1872,Miramar ,FL
1873,"Phoenix, ",AZ
1874,Northville ,MI
1875,Boca Raton,FL
1876,Mt. Airy,NC
1877,West Melbourne,FL
1878,Canton,MI
1879,Boulder,CO
1880,Ooltewah,TN
1881,Cumberland ,RI
1882,Delray Beach ,FL
1883,Alviso,CA
1884,Roswell,GA
1885,West Hollywood,CA
1886,Somerville,NJ
1887,New York City,NY
1888,Rochester Hills,MI
1889, Sunnyvale,CA
1890,Raleigh ,NC
1891,Camden,NJ
1892,West Berlin,NJ
1893,Detroit ,MI
1894,Parlin,NJ
1895,Mayfield Village,OH
1896,West New York,NJ
1897,Fort Wayne,IN
1898,"Smithfield,",RI
1899,Fortworth,TX
1900,Swiftware,PA
1901,Swiftwater,PA
1902,Belleuve,WA
1903,Dallas   ,TX
1904,Wyoming,MN
1905,Hudson,WI
1906,Skillman,NJ
1907,Alphretta,GA
1908,Mill Creek,WA
1909,Woodbridge,NJ
1910,Bowie,MD
1911,New Holland,PA
1912, Richardson,TX
1913,Wooster,OH
1914,Sussex,WI
1915,Agoura Hills,CA
1916,Malborough,MA
1917,Schenectady,NY
1918,Monrovia,MD
1919,Voorhees,NJ
1920,San Carlos,CA
1921,Columbia ,MD
1922,Downingtown ,PA
1923,Bristol,CT
1924,Hoover,AL
1925,Phoenix ,AZ
1926,Rohnert Park,CA
1927, East Hanover,NJ
1928,Emeryville ,CA
1929,Grandview Heights,OH
1930,Charlotte ,NC
1931,Richfield ,MN
1932,West Bend,WI
1933,Saline,MI
1934, San Jose,CA
1935,Bensalem,PA
1936,Moorpark,CA
1937,Dearborn ,MI
1938,Sunrise ,FL
1939,Birmingham,AL
1940,Windham,NY
1941,Lake Bluff,IL
1942,Kohler,WI
1943,South Amboy,NJ
1944,"Atlanta,",GA
1945,Netcong,NJ
1946,Reno,NV
1947,St Paul,MN
1948,Fridley,MN
1949,Garden City,NY
1950,Mattapan,MA
1951,Monroeville,PA
1952,Northridge,CA
1953,Pleasant Prairie,WI
1954,Shrewsbury ,MA
1955,Greenland,NH
1956,Glenmoore,PA
1957,Del Mar,CA
1958,Northbrook,IL
1959,Trabuco Canyon,CA
1960,Dunwoody,GA
1961,Minnetonka,MN
1962,Mequon,WI
1963,Lima,OH
1964,Desmoines,IA
1965,Marlton,NJ
1966,Poali,PA
1967,Rosemead,CA
1968,Snohomish,WA
1969,Gulfport,MS
